candidate_id,query_date,city,stage,source,name,area,estimated_price_cny,url,research_status,visit_status,notes
poi-02-dali-20260514-001,2026-05-14,大理,02-dali,高德地图 REST place/text,双廊古镇,S314(环海东路),0,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-002,2026-05-14,大理,02-dali,高德地图 REST place/text,大理古城,护国路172号,0,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-003,2026-05-14,大理,02-dali,高德地图 REST place/text,南诏风情岛,双廊镇,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-004,2026-05-14,大理,02-dali,高德地图 REST place/text,大理苍山世界地质公园,Z013附近,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-005,2026-05-14,大理,02-dali,高德地图 REST place/text,沙溪古镇,084县道,0,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-006,2026-05-14,大理,02-dali,高德地图 REST place/text,鸡足山,鸡足山镇寺前村,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-007,2026-05-14,大理,02-dali,高德地图 REST place/text,大理张家花园,观音塘北旁,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-008,2026-05-14,大理,02-dali,高德地图 REST place/text,崇圣寺三塔文化旅游区,大理镇三塔公园,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-009,2026-05-14,大理,02-dali,高德地图 REST place/text,大理古城红龙井,护国路172号大理古城(西南角),0,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-010,2026-05-14,大理,02-dali,高德地图 REST place/text,大理海洋世界,海东山地新城大理海洋城1栋2单元,以官方当日票价为准,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-02-dali-20260514-011,2026-05-14,大理,02-dali,高德地图 REST place/text,喜洲古镇-严家民居,喜洲风景区大理喜洲古镇富春里36号(喜洲小学斜对面),以官方当日票价为准,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-012,2026-05-14,大理,02-dali,高德地图 REST place/text,蝴蝶泉,永兴公路035乡,以官方当日票价为准,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-013,2026-05-14,大理,02-dali,高德地图 REST place/text,小普陀,海东镇海印村77号,0,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-014,2026-05-14,大理,02-dali,高德地图 REST place/text,理想邦,环海东路,0,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-015,2026-05-14,大理,02-dali,高德地图 REST place/text,喜洲古镇-严家大院,喜洲镇里面的四方街旁边,以官方当日票价为准,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-016,2026-05-14,大理,02-dali,高德地图 REST place/text,杨贵贤院,清真路130号喜洲古镇内(东侧),0,,pending,候选,古镇/村落；适合低强度半日
poi-02-dali-20260514-017,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园-动物园区,洱河南路1号洱海公园内(东侧),0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-018,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园-猴山,下关洱河南路1号洱海公园动物园区内,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-019,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园,洱河南路1号,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-020,2026-05-14,大理,02-dali,高德地图 REST place/text,天龙台,洱河南路1号洱海公园内(西侧),0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-021,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海,挖色镇大理海印学校北侧70米,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-022,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海公园-听涛亭,洱河南路1号洱海公园内(西侧),0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-023,2026-05-14,大理,02-dali,高德地图 REST place/text,百二山河牌坊,滨海大道洱海公园内,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-024,2026-05-14,大理,02-dali,高德地图 REST place/text,应海廟,洱河南路1号洱海公园内(东侧),以官方当日票价为准,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-025,2026-05-14,大理,02-dali,高德地图 REST place/text,大理人民英雄纪念广场,洱河南路1号洱海公园,0,,pending,候选,湖边/公园；雨天和风大时降低优先级
poi-02-dali-20260514-026,2026-05-14,大理,02-dali,高德地图 REST place/text,龙山公园,行政办公区,0,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-027,2026-05-14,大理,02-dali,高德地图 REST place/text,洱海大游船,洱河南路大理港码头,以官方当日票价为准,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-028,2026-05-14,大理,02-dali,高德地图 REST place/text,雄风塔(大理州政务服务中心),龙山东路与Z002交叉口西420米,0,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-029,2026-05-14,大理,02-dali,高德地图 REST place/text,苍山景区苍山感通索道,七里桥观音塘以西1.5公里,以官方当日票价为准,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-030,2026-05-14,大理,02-dali,高德地图 REST place/text,天井口袋公园,满江街道苍山东路434号,0,,pending,候选,山地/自然；索道和山路看天气，默认不硬排
poi-02-dali-20260514-031,2026-05-14,大理,02-dali,高德地图 REST place/text,大理西湖,西湖线西湖景区内,以官方当日票价为准,,pending,候选,人文景区；门票以官方当日为准，预算紧张时仅外观
poi-02-dali-20260514-032,2026-05-14,大理,02-dali,高德地图 REST place/text,洗马潭索道,三月街天龙八部影视城内,以官方当日票价为准,,pending,候选,人文景区；门票以官方当日为准，预算紧张时仅外观
poi-02-dali-20260514-033,2026-05-14,大理,02-dali,高德地图 REST place/text,天龙八部影视城,大理古城(洗马潭索道东北),以官方当日票价为准,,pending,候选,人文景区；门票以官方当日为准，预算紧张时仅外观
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-001,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,建水古城,,0,,pending,候选,古城/街区；低强度主线
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-002,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,朱家花园,翰林街16号(近书院街),以官方当日票价为准,,pending,候选,人文景区；门票以官方当日为准，预算允许再进
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-003,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,团山民居,西庄镇团山寨,以官方当日票价为准,,pending,候选,古村/人文；交通顺路时考虑
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-004,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,团山民居-上庙,西庄镇团山寨团山民居,以团山民居当日票价为准,,pending,候选,古村/人文；交通顺路时考虑
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-005,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,张家花园,西庄镇团山民居内,以团山民居当日票价为准,,pending,候选,古村/人文；交通顺路时考虑
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-006,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,哈尼梯田文化博物馆,245国道,以现场公示为准,,pending,候选,梯田/自然；能见度和道路正常才保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-007,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,元阳·哈尼梯田,新街镇箐口村,以官方当日票价为准,,pending,候选,梯田/自然；能见度和道路正常才保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-008,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,南湖公园,南湖南路7号,0,,pending,候选,湖边/公园；恢复体力和低预算日
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-009,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,南湖公园-闻一多纪念亭,南湖南路7号南湖公园,0,,pending,候选,湖边/公园；恢复体力和低预算日
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-010,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,南湖公园-南湖瀛州亭,南湖北路南湖公园(南湖北路)附近,0,,pending,候选,湖边/公园；恢复体力和低预算日
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-011,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,碧色寨风景区,开蒙线,以官方当日票价为准,,pending,候选,人文景区；蒙自可选，注意交通
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-012,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,碧色寨马帮文化展览馆,碧色寨风景区,以碧色寨当日票价为准,,pending,候选,人文景区；蒙自可选，注意交通
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-013,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,碧色寨车站车库遗址,开蒙线,以碧色寨当日票价为准,,pending,候选,人文景区；蒙自可选，注意交通
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-014,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,普者黑风景区,迎宾路144号,以官方当日票价为准,,pending,候选,湖区/自然；天气和住宿价格允许时保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-015,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,普者黑风景区-龙宫,仙人洞,以普者黑当日票价为准,,pending,候选,湖区/自然；天气和住宿价格允许时保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-016,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,普者黑水陌青田景区,双龙营镇普者黑村梅子山旁,以官方当日票价为准,,pending,候选,湖区/自然；天气和住宿价格允许时保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-017,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,普者黑风景区-螺蛳洞,普者黑风景区(东南角),以普者黑当日票价为准,,pending,候选,湖区/自然；天气和住宿价格允许时保留
poi-09-jianshui-yuanyang-mengzi-puzhehei-20260515-018,2026-05-15,建水/元阳/蒙自/普者黑,09-jianshui-yuanyang-mengzi-puzhehei,高德地图 REST place/text,云南普者黑喀斯特地貌国家湿地公园,305省道北侧,以官方当日票价为准,,pending,候选,湖区/自然；天气和住宿价格允许时保留
poi-10-kunming-return-20260515-001,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明站,北京路1号,0,,pending,候选,交通枢纽；返程交通和住宿定位
poi-10-kunming-return-20260515-002,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明南站,联大街328号,0,,pending,候选,交通枢纽；返程交通和住宿定位
poi-10-kunming-return-20260515-003,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明东站,贵昆公路,0,,pending,候选,交通枢纽；返程交通和住宿定位
poi-10-kunming-return-20260515-004,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明站(检票口4A),北京路与站前路交汇处昆明站F2层,0,,pending,候选,交通枢纽；返程交通和住宿定位
poi-10-kunming-return-20260515-005,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明站(检票口6B),北京路与站前路交汇处昆明站F2层,0,,pending,候选,交通枢纽；返程交通和住宿定位
poi-10-kunming-return-20260515-006,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明老街记忆,景星街102号,0,,pending,候选,古城/街区；返程缓冲慢逛
poi-10-kunming-return-20260515-007,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,翠湖公园,翠湖南路67号,0,,pending,候选,湖边/公园；低强度返程缓冲
poi-10-kunming-return-20260515-008,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,翠湖·阮堤,翠湖南路67号翠湖公园,0,,pending,候选,湖边/公园；低强度返程缓冲
poi-10-kunming-return-20260515-009,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明翠湖公园-唐堤,翠湖南路67号翠湖公园内(东侧),0,,pending,候选,湖边/公园；低强度返程缓冲
poi-10-kunming-return-20260515-010,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明翠湖公园-说园,翠湖南路67号翠湖公园(东北角),0,,pending,候选,湖边/公园；低强度返程缓冲
poi-10-kunming-return-20260515-011,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明翠湖公园-竹林岛,翠湖南路67号翠湖公园(东北角),0,,pending,候选,湖边/公园；低强度返程缓冲
poi-10-kunming-return-20260515-012,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,昆明翠湖公园-滇花苑,翠湖南路67号翠湖公园(西北角),0,,pending,候选,湖边/公园；低强度返程缓冲
poi-10-kunming-return-20260515-013,2026-05-15,昆明返程,10-kunming-return,高德地图 REST place/text,翠湖·定西桥,翠湖南路67号翠湖公园内(西侧),0,,pending,候选,湖边/公园；低强度返程缓冲
poi-01-kunming-20260515-001,2026-05-15,昆明,01-kunming,高德地图 REST place/text,翠湖公园,翠湖南路67号,0,,pending,候选,湖边/公园；免费慢逛，适合到达后低强度
poi-01-kunming-20260515-002,2026-05-15,昆明,01-kunming,高德地图 REST place/text,翠湖·阮堤,翠湖南路67号翠湖公园,0,,pending,候选,湖边/公园；免费慢逛，适合到达后低强度
poi-01-kunming-20260515-003,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明翠湖公园-唐堤,翠湖南路67号翠湖公园内(东侧),0,,pending,候选,湖边/公园；免费慢逛，适合到达后低强度
poi-01-kunming-20260515-004,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明翠湖公园-说园,翠湖南路67号翠湖公园(东北角),0,,pending,候选,湖边/公园；免费慢逛，适合到达后低强度
poi-01-kunming-20260515-005,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明翠湖公园-竹林岛,翠湖南路67号翠湖公园(东北角),0,,pending,候选,湖边/公园；免费慢逛，适合到达后低强度
poi-01-kunming-20260515-006,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明翠湖公园-滇花苑,翠湖南路67号翠湖公园(西北角),0,,pending,候选,湖边/公园；免费慢逛，适合到达后低强度
poi-01-kunming-20260515-007,2026-05-15,昆明,01-kunming,高德地图 REST place/text,翠湖·定西桥,翠湖南路67号翠湖公园内(西侧),0,,pending,候选,湖边/公园；免费慢逛，适合到达后低强度
poi-01-kunming-20260515-008,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学(呈贡校区),大学城东外环南路,0,,pending,候选,校园/街区；免费慢逛，注意校区开放规则
poi-01-kunming-20260515-009,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南师范大学(呈贡校区),聚贤街768号,0,,pending,候选,校园/街区；免费慢逛，注意校区开放规则
poi-01-kunming-20260515-010,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南师范大学呈贡校区(东区),聚贤街768号,0,,pending,候选,校园/街区；免费慢逛，注意校区开放规则
poi-01-kunming-20260515-011,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学呈贡校区新闻学院,云南大学(呈贡校区),0,,pending,候选,校园/街区；免费慢逛，注意校区开放规则
poi-01-kunming-20260515-012,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南民族大学(雨花校区),月华街2929号,0,,pending,候选,校园/街区；免费慢逛，注意校区开放规则
poi-01-kunming-20260515-013,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学呈贡校区·药学院,致远路1号,0,,pending,候选,校园/街区；免费慢逛，注意校区开放规则
poi-01-kunming-20260515-014,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学呈贡校区经济学院,云南大学(呈贡校区),0,,pending,候选,校园/街区；免费慢逛，注意校区开放规则
poi-01-kunming-20260515-015,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南大学呈贡校区外国语学院,云南大学(呈贡校区),0,,pending,候选,校园/街区；免费慢逛，注意校区开放规则
poi-01-kunming-20260515-016,2026-05-15,昆明,01-kunming,高德地图 REST place/text,昆明老街记忆,景星街102号,0,,pending,候选,古城/街区；免费慢逛，注意游客价
poi-01-kunming-20260515-017,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南省博物馆,广福路6393号,免费开放，特展以官方当日票价为准,,pending,候选,博物馆/室内；雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-018,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南省博物馆小游园,广福路云南省博物馆东门右侧,0,,pending,候选,博物馆/室内；雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-019,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南省家书博物馆,七彩云南第壹城,免费开放，特展以官方当日票价为准,,pending,候选,博物馆/室内；雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-020,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南民族博物馆,昆明滇池国家旅游度假区滇池路1503号,免费开放，特展以官方当日票价为准,,pending,候选,博物馆/室内；雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-021,2026-05-15,昆明,01-kunming,高德地图 REST place/text,云南省博物馆-陶瓷馆,云南省博物馆,免费开放，特展以官方当日票价为准,,pending,候选,博物馆/室内；雨天备选，预约需官方渠道核验
poi-01-kunming-20260515-022,2026-05-15,昆明,01-kunming,高德地图 REST place/text,官渡古镇,广福路,0,,pending,候选,古镇/村落；免费慢逛，适合预算日
poi-01-kunming-20260515-023,2026-05-15,昆明,01-kunming,高德地图 REST place/text,官渡古镇-大牌坊,云秀路官渡古镇内(西南角),0,,pending,候选,古镇/村落；免费慢逛，适合预算日
poi-01-kunming-20260515-024,2026-05-15,昆明,01-kunming,高德地图 REST place/text,官渡古镇-官渡土主庙,广福路官渡古镇(东北角),以官方当日票价为准,,pending,候选,古镇/村落；免费慢逛，适合预算日
poi-04-lijiang-20260514-001,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江市福国寺,白沙镇,0,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-002,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,三眼井餐厅,束河路(龙泉路口)丽江束河古镇内,0,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-003,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,白沙古镇,白沙镇,0,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-004,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,白沙古镇-大宝积宫,白沙乡政府旁边白沙壁画内(西侧),以官方当日票价为准,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-005,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,玉水寨-纳西古寨,白沙镇丽江玉水寨风景区内(西侧),以官方当日票价为准,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-006,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,白沙壁画-金刚殿,白沙镇三元村白沙壁画景区正门直行40米后右转150米白沙壁画(西北角),以官方当日票价为准,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-007,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,北岳庙-玉龙祠,白沙镇北岳庙,0,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-008,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,玉水寨-纸坊,白沙镇丽江玉水寨风景区内(西侧),以官方当日票价为准,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-009,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江玉水寨风景区,白沙镇,以官方当日票价为准,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-010,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,东巴谷景区,白沙镇雪山玉甘路15里处,以官方当日票价为准,,pending,候选,古镇；慢住核心区
poi-04-lijiang-20260514-011,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,观音峡,七河乡,以官方当日票价为准,,pending,候选,古镇；住宿和餐饮候选区
poi-04-lijiang-20260514-012,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,狮子山万古楼景区,大研镇新华街丽江古城-狮子山(狮山路)(东北角),以官方当日票价为准,,pending,候选,古镇；住宿和餐饮候选区
poi-04-lijiang-20260514-013,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江拉市海湿地公园,海北段,以官方当日票价为准,,pending,候选,古镇；住宿和餐饮候选区
poi-04-lijiang-20260514-014,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,束河古镇-九鼎龙潭,束河街道束河街道束河路(龙泉路口)丽江束河古镇内(北侧),0,,pending,候选,古镇；住宿和餐饮候选区
poi-04-lijiang-20260514-015,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭,民主路1号,以官方当日票价为准,,pending,候选,古镇；住宿和餐饮候选区
poi-04-lijiang-20260514-016,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江千古情景区,黄山街道玉兴西路88号,以官方当日票价为准,,pending,候选,古镇；住宿和餐饮候选区
poi-04-lijiang-20260514-017,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,玉龙雪山国家级风景名胜区蓝月谷,雪山景区内,以官方当日票价为准,,pending,候选,古镇；住宿和餐饮候选区
poi-04-lijiang-20260514-018,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江古城,民主路与福慧路交叉口东南,0,,pending,候选,古镇；住宿和餐饮候选区
poi-04-lijiang-20260514-019,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江古城-狮子山(狮山路),大研镇新华街,0,,pending,候选,古镇；住宿和餐饮候选区
poi-04-lijiang-20260514-020,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江古城-古城大水车,东大街1号丽江古城内(北侧),0,,pending,候选,古城；方便但商业化
poi-04-lijiang-20260514-021,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,蓝月湖,大具乡,以官方当日票价为准,,pending,候选,古城；方便但商业化
poi-04-lijiang-20260514-022,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,丽江古城白龙文化广场,丽江古城(西南角),0,,pending,候选,古城；方便但商业化
poi-04-lijiang-20260514-023,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,玉龙雪山国家级风景名胜区,旅游环线,以官方当日票价为准,,pending,候选,古城；方便但商业化
poi-04-lijiang-20260514-024,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,花马广场,花马街与民主路交叉口西北40米,0,,pending,候选,公园；低强度城市活动
poi-04-lijiang-20260514-025,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭-和志强墓,民主路1号黑龙潭公园内,以官方当日票价为准,,pending,候选,公园；低强度城市活动
poi-04-lijiang-20260514-026,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,弥勒竹园,教育路与民主路交叉口北280米,0,,pending,候选,公园；低强度城市活动
poi-04-lijiang-20260514-027,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭公园-龙神祠,民主路1号黑龙潭(西南角),以官方当日票价为准,,pending,候选,公园；低强度城市活动
poi-04-lijiang-20260514-028,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭公园-文明坊,民主路1号黑龙潭(西南角),以官方当日票价为准,,pending,候选,公园；低强度城市活动
poi-04-lijiang-20260514-029,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,黑龙潭公园办公室,民主路1号黑龙潭(西南角),以官方当日票价为准,,pending,候选,公园；低强度城市活动
